sprint,compartment,id,task,owner,date,status,expected,actual,blocker,delay_reason,rag
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.1,Draft Business $\rightarrow$ Tech Intake Format v1,Prakhar,"Thu, Sept 3 (Day 3)",[ ] Planned,Standard intake format defining: Who $\rightarrow$ Wants What $\rightarrow$ Context $\rightarrow$ POC $\rightarrow$ Scale $\rightarrow$ Tech expectation,-,None,None,🟡
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.2,Collect client context: **Orane**,Yashvi,"Fri, Sept 4 (Day 4)",[ ] Planned,"Complete background, target audience, scale, missing items identified",-,None,None,🟡
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.3,Collect client context: **College Vidya**,Yashvi,"Fri, Sept 4 (Day 4)",[ ] Planned,"Complete admissions/CRM context, scale, integration requirements",-,None,None,🟡
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.4,Collect client context: **Chitkara**,Yashvi,"Fri, Sept 4 (Day 4)",[ ] Planned,"Complete placement/academic scope, 100-student cohort context",-,None,None,🟡
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.5,Define schema & draft **Product Catalogue v1**,Prakhar,"Fri, Sept 4 (Day 4)",[ ] Planned,"Product, buyer, use case, maturity, demo readiness, limitations",-,None,None,🟡
Sprint 1,"Compartment 1: Market, Intake & Client POCs",S1.6,Define schema & seed **Capability Registry v1**,Yashvi,"Fri, Sept 4 (Day 4)",[-] In Progress,"Core AI capabilities (RAG, Eval, Voice, Parser) mapped to products",Need to understand the deliverable,Need to discuss the artifacts required for capability mapping,None,🟡
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.7,Freeze P0 product/module list & assign owners,Shubham,"Wed, Sept 2 (Day 2)",[-] In Progress,Final P0 list with named module owners across both suites,-,None,None,🟡
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.8,Triage all P0 bugs across live suites by severity,Shubham,"Wed, Sept 2 (Day 2)",[-] In Progress,Critical / blocker bug list ready with reproduction steps,-,None,None,🟡
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.9,**Fix critical / blocking P0 bugs on staging**,Rohan,"**Fri, Sept 4 (Day 4)**",[-] In Progress,**Critical blocker issues cleared in Week 1; verified**,-,working on bug hunterz pipeline migrating it to new email and also improving the pipeline,None,🔴
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.10,Define clean demo environment requirements,Shubham,"Fri, Sept 4 (Day 4)",[-] In Progress,Spec sheet for dummy student rosters & sanitized CRM leads,-,None,None,🟡
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.11,**Demo #1: Sales & Admin Suite Walkthrough**,Prakhar,"**Thu, Sept 3 (Day 3)**",[ ] Planned,**Weekday baseline demo of Sales & Admin Suite**,-,None,None,🟡
Sprint 1,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S1.22,Sales Suite technical documentation & research plan,Shubham,"Fri, Sept 4 (Day 4)",[ ] Planned,Technical architecture doc & generalized setup plan,-,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.12,"Inventory current GCP projects, services & VMs",Rohan,"Thu, Sept 3 (Day 3)",[ ] Planned,Complete GCP infrastructure inventory with instance sizes,-,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.13,Inventory AWS accounts/services used by AI Labs,Rohan,"Fri, Sept 4 (Day 4)",[ ] Planned,"Complete AWS inventory (S3, compute, IAM)",-,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.14,"Master inventory of AI/API keys, models & endpoints",Rohan,"Fri, Sept 4 (Day 4)",[ ] Planned,All third-party AI keys mapped to product modules,-,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.15,Collect top repetitive workflows across MAS departments,Rohan,"Fri, Sept 4 (Day 4)",[ ] Planned,Departmental automation intake list (Problem $\rightarrow$ Effort $\rightarrow$ Value),-,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.16,**Build & configure MAS Slack Standup Bot v1.0**,Yashvi,"**Thu, Sept 3 (Day 3)**",[-] In Progress,"**Personal DMs, dropdown modal, 7:45 PM summary & 2-way sync**",Built & configured with Socket Mode & scheduler,None,None,🟡
Sprint 1,"Compartment 3: Cloud, Cost & Internal Automation",S1.17,**Test & pilot Slack Standup Bot with core team**,Yashvi,"**Fri, Sept 4 (Day 4)**",[-] In Progress,**Live test during Friday standup & Friday review #1**,Live testing with pod members,None,None,🟡
Sprint 1,"Compartment 4: Leadership, Compute & Enablers",S1.18,Kick off QA Tester (contract/2-mo) hiring,Gaurav,"Tue, Sept 1 (Day 1)",[-] In Progress,Active job description & candidate pipeline with HR,-,None,None,🟡
